,id,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad
1054,365,eunnho,312,554,-0.392050504,-5.137058937,-8.82188493,20.15076218,65.16199227,22.21745448,2,2,10.21610159689396,92.19930823657747,120.18803516563062,149.71499082478056,1.6091814967894038,2.0976769351429825,2.6130195294855216
1055,366,eunnho,310,224,2.762759224,-8.914810466,-6.145915369,-28.45869864,-5.472385556,-17.94619056,0,2,11.174925498517233,75.68643497901944,142.91589322339277,123.36521020445794,1.3209774894804944,2.494352890176856,2.153129100482698
1056,367,eunnho,197,548,1.366640381,-5.849184878,-8.717437882,28.98620952,19.76592884,-5.359780923,2,1,10.586519394708176,82.58284479084556,123.5395560697694,145.43135768881558,1.441342547263703,2.1561720098696218,2.5382560273154025
1057,368,eunnho,116,387,3.042431467,-7.908496996,-4.968566411,-9.060973349,-21.03380319,-15.87235389,1,0,9.82279828499243,71.95694110448196,143.62150806372742,120.38579134537699,1.255885541936855,2.5066681923916296,2.1011284315957224
1058,369,eunnho,87,542,2.575412798,-6.654384824,-6.108954589,-9.238423371,-22.62823914,-33.92478121,2,0,9.393237707864516,74.08700582309298,135.10674367887344,130.5684969986308,1.293062184557184,2.3580575188443778,2.2788501720064414
1059,370,eunnho,209,544,1.123030362,-6.308871597,-8.212560607,31.2162697,15.71198104,2.090217819,2,1,10.416775400528486,83.81092513924912,127.27529517868025,142.0360148160243,1.4627765928223844,2.221372957315635,2.478996114951072
1060,371,eunnho,206,381,2.190694227,-7.93049314,-6.326677302,-4.277064885,3.604391997,-35.65888086,1,1,10.37876236954292,77.81465974683832,139.82768192886257,127.55908009285514,1.3581220189014258,2.4404534350900273,2.226325938435476
1061,372,eunnho,103,202,4.762067102,-8.577676945,-3.3414074,14.17485209,-18.32312138,-36.34401372,0,0,10.36430548900938,62.64721374540657,145.85473389133188,108.80786798055415,1.0934001470579933,2.5456453360239024,1.8990555483359834
1062,373,eunnho,106,381,3.594594518,-6.764218825,-4.893747609,-20.17853715,-5.708853535,-10.64552943,1,0,9.089803722958667,66.70574053143224,138.08653273216638,122.57326990314613,1.1642348022545246,2.4100646488392243,2.1393071347455708
1063,374,eunnho,329,565,-0.398185613,-5.368997807,-9.889848508,62.78258659,57.73777471,7.955255369,2,2,11.260274985326106,92.02651467848219,118.47718399472706,151.4374256210746,1.6061656802744049,2.0678169491991154,2.6430816878317707
1064,375,eunnho,306,227,2.43355635,-8.515577339,-3.911975875,0.751182818,-21.41128213,-22.76247114,0,2,9.681983741553053,75.44265013879624,151.5854978527447,113.83141708991509,1.3167226413521513,2.6456660358051893,1.9867330204299607
1065,376,eunnho,305,390,1.829469197,-6.477662229,-9.071629506,27.56942508,12.90979605,1.304377021,1,2,11.296084604406735,80.67954960812212,124.99067711008128,143.42497911705507,1.4081237796878316,2.181498849868029,2.5032381151967202
1066,377,eunnho,218,205,3.146429894,-8.96239464,-4.118475476,-43.65532142,-24.59335457,-19.42715999,0,1,10.35308548247193,72.3072634978853,149.9597313416656,113.44082671098593,1.2619998211452104,2.6172910573181984,1.9799159322910342
1067,378,eunnho,202,550,1.178845189,-6.52943684,-7.279570148,34.52889778,-2.85296468,1.064142619,2,1,9.849637707389565,83.12612758496098,131.52229031654173,137.65224023678255,1.4508246207904516,2.2954970057875084,2.402484814878074
1068,379,eunnho,122,193,2.650530875,-7.904307728,-3.603871757,-26.59207966,-12.98872059,-40.02010008,0,0,9.082471371777125,73.03249722865772,150.49137987365333,113.37791938721699,1.2746575375937113,2.6265700746647784,1.9788179923676483
1069,380,eunnho,315,557,-0.047584703,-4.958092363,-9.397839482,66.95232828,79.07079142,33.36507794,2,2,10.625644973997415,90.25658788441257,117.81483512183387,152.18377277332712,1.5752746301986227,2.0562567805702554,2.6561079030014603
1070,381,eunnho,205,374,2.75826995,-7.685986464,-6.289418124,-3.766670889,-8.514384046,-37.2577257,1,1,10.307241210933404,74.47819619204944,138.21823016582061,127.60354143621115,1.2998897444975657,2.4123632026729176,2.2271019352668984
1071,382,eunnho,220,209,3.646369421,-8.052448371,-4.645648462,-7.756848619,-48.65656693,-22.05508893,0,1,9.985989402883792,68.5832757914054,143.74321894413916,117.72424367898743,1.1970039743633438,2.508792447990315,2.054675661618453
1072,383,eunnho,319,407,1.506701032,-6.199934837,-8.952069645,34.30935843,41.29222623,15.74982712,1,2,10.993129259305855,82.1223342116636,124.33167869876756,144.52147914225458,1.4333051214167116,2.169997157825193,2.5223756508846527
1073,384,eunnho,110,394,3.017441988,-6.978948202,-5.823595679,14.49529042,-37.61771082,-24.00597367,1,0,9.577313860869962,71.63547903429328,136.77716790740945,127.44946723956178,1.2502749703917857,2.3872119215374177,2.2244128332430018
